## 2.8 nm icosahedral Au NP with 2-ethoxyethanethiol (PEG) and dodecanethiol (DDT) 
#DDT	#PEG	PEG (%)	Initial_Config	trial	binomial_probabilities	fragment_probabilities	ssr
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.022, 0.010, 0.080, 0.112, 0.776]	0.045
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.021, 0.010, 0.081, 0.113, 0.775]	0.044
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.021, 0.010, 0.081, 0.115, 0.773]	0.043
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.020, 0.010, 0.082, 0.114, 0.773]	0.044
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.022, 0.010, 0.081, 0.111, 0.775]	0.045
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.021, 0.010, 0.083, 0.114, 0.772]	0.043
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.021, 0.010, 0.082, 0.112, 0.775]	0.045
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.021, 0.011, 0.082, 0.113, 0.773]	0.044
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.020, 0.010, 0.082, 0.112, 0.775]	0.045
111	12	10	janus	1	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.021, 0.010, 0.082, 0.113, 0.774]	0.044
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.033, 0.064, 0.160, 0.732]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.010, 0.033, 0.064, 0.162, 0.731]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.010, 0.033, 0.065, 0.161, 0.731]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.033, 0.063, 0.161, 0.731]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.032, 0.065, 0.160, 0.732]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.010, 0.032, 0.066, 0.163, 0.730]	0.021
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.032, 0.066, 0.159, 0.732]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.032, 0.066, 0.161, 0.730]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.031, 0.066, 0.161, 0.731]	0.022
111	12	10	janus	2	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.031, 0.064, 0.164, 0.730]	0.021
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.011, 0.054, 0.171, 0.765]	0.024
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.011, 0.054, 0.173, 0.762]	0.023
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.010, 0.054, 0.174, 0.761]	0.022
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.011, 0.053, 0.172, 0.764]	0.024
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.010, 0.055, 0.173, 0.762]	0.023
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.011, 0.054, 0.172, 0.763]	0.023
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.011, 0.054, 0.176, 0.759]	0.022
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.010, 0.053, 0.173, 0.764]	0.023
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.011, 0.053, 0.171, 0.765]	0.024
111	12	10	janus	3	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.000, 0.011, 0.054, 0.173, 0.763]	0.023
111	12	10	janus	4	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.011, 0.022, 0.022, 0.187, 0.758]	0.020
111	12	10	janus	4	[0.000, 0.003, 0.047, 0.287, 0.663]	[0.012, 0.023, 0.022, 0.186, 0.758]	0.020
