#File containing the CLEAN SSR information computed during analysis
# date	 file	 ssr 	 fragment probabilities 	 fraction PEG 	 fraction DDT 
1-9_ 	 50x2 	 0.025063942740712983 	 [0.869249163773953, 0.07809401048834413, 0.02024087109222331, 0.0029653262099925, 0.02945062843548706] 	 0.9386814387388208 	 0.06131856126117918
10-22_ 	 50x2 	 0.17105924990267302 	 [0.40808805577343715, 0.14059155534913986, 0.15706482810909098, 0.1197663983274946, 0.17448916244083731] 	 0.6220057359217113 	 0.37799426407828873
1-9_ 	 1x 	 0.1596259802121015 	 [0.0549056099499231, 0.11866816066471059, 0.06907083605614493, 0.12855337918255003, 0.6288020141466713] 	 0.21058049327216602 	 0.789419506727834
1-9_ 	 2.56x 	 0.16113159047286663 	 [0.11675094749492679, 0.07958121033503708, 0.0893103741303415, 0.16529208436816267, 0.549065383671532] 	 0.262415063403416 	 0.737584936596584
1-9_ 	 5x 	 0.017973001539335842 	 [0.01485505474183573, 0.015603941561686808, 0.048136562747033595, 0.1678755200972832, 0.7535289208521607] 	 0.09259517231093845 	 0.9074048276890616
1-9_ 	 10x 	 0.04931395806771388 	 [0.03975507430378804, 0.029159961262602695, 0.06342203158552048, 0.18626972326063485, 0.681393209587454] 	 0.13990349185865902 	 0.860096508141341
1-9_ 	 50x 	 0.19974117754958137 	 [0.7063127371309608, 0.09467482376161789, 0.046418870617865815, 0.02908871195983673, 0.12350485652971879] 	 0.8078004682510662 	 0.19219953174893378
10-3_ 	 2.56x 	 0.0477945531793863 	 [0.049145307131066844, 0.038055595828330804, 0.08596214965940144, 0.24080801282417294, 0.586028934557028] 	 0.1808700820380589 	 0.8191299179619411
10-3_ 	 5x 	 0.009520500639115505 	 [0.016914209761414677, 0.019772834908056015, 0.012429672079772651, 0.19634049727945924, 0.7545427859712974] 	 0.08704379630220782 	 0.9129562036977922
10-3_ 	 10x 	 0.01692450442864795 	 [0.022439069698875016, 0.020817573859709896, 0.03432918424827213, 0.2078000312766892, 0.7146141409164537] 	 0.1071668500369658 	 0.8928331499630342
10-3_ 	 40x 	 0.1814066634014243 	 [0.2038000398866321, 0.06981628142591102, 0.09457936622424273, 0.20436479909836502, 0.4274395133648492] 	 0.35454313384277797 	 0.645456866157222
10-3_ 	 50x 	 0.1261230924345884 	 [0.5426983342271485, 0.1805269905849878, 0.10919752960254689, 0.07774047243645099, 0.08983667314886568] 	 0.7521274600762755 	 0.2478725399237245
10-8_ 	 1x 	 0.2693647479854653 	 [0.2816980338436878, 0.15176318236894418, 0.08980025568477547, 0.08988703111172555, 0.38685149699086696] 	 0.46289230624071503 	 0.5371076937592849
10-8_ 	 2.56x 	 0.043801206932612 	 [0.4189636743046266, 0.4310439991165342, 0.003610197289723049, 0.1284391614968267, 0.017942967792289544] 	 0.7761615626610955 	 0.22383843733890452
10-8_ 	 5x 	 0.044178961177772876 	 [0.06269950765693444, 0.03847740652739905, 0.15537802054075997, 0.2743712746047923, 0.4690737906701142] 	 0.2378393914740618 	 0.7621606085259383
10-8_ 	 10x 	 0.09890707487051173 	 [0.0746905856151871, 0.0778958479486728, 0.04730262851336325, 0.21731623712140952, 0.5827947008013672] 	 0.21109284511372572 	 0.7889071548862743
10-8_ 	 40x 	 0.15432602951256397 	 [0.25970267542416764, 0.1394123369989923, 0.13394171000060826, 0.19357158874553002, 0.2733716888307018] 	 0.4796256803600985 	 0.5203743196399016
10-8_ 	 50x 	 0.04145823881166926 	 [0.5443892057200411, 0.2715524767803095, 0.08334368056590766, 0.057977202150704545, 0.04273743478303718] 	 0.8042197041259032 	 0.19578029587409684
10-11_ 	 1x 	 0.05 	 [0.11025142535291105, 0.07365869142445314, 0.2756495747352089, 0.0627709895113423, 0.4776693189760847] 	 0.13 	 0.87 #hand integrated
10-11_ 	 2.56x 	 0.08945373371548002 	 [0.1231352832056746, 0.09275969978388127, 0.1985596095311537, 0.21368109678290118, 0.3718643106963893] 	 0.34540513700488773 	 0.6545948629951123
10-11_ 	 5x 	 0.07571631289875182 	 [0.07337178706304313, 0.035037786374007875, 0.1834353829751522, 0.21643908175353904, 0.49171596183425775] 	 0.24547758876950992 	 0.75452241123049
10-11_ 	 10x 	 0.08460137949632726 	 [0.0671029060067303, 0.02336343043190867, 0.156786271757732, 0.1908079483905834, 0.5619394434130456] 	 0.21072060180717367 	 0.7892793981928263
10-11_ 	 40x 	 0.14803566804946178 	 [0.26304821908790066, 0.08881341200969765, 0.19829965254633616, 0.16667568185192888, 0.2831630345041368] 	 0.4704770248313242 	 0.5295229751686759
10-11_ 	 50x 	 0.18977102460843803 	 [0.4878368654106339, 0.1210304371897585, 0.17146976987092852, 0.061411883334840656, 0.15825104419383845] 	 0.6796975490721271 	 0.3203024509278729
10-22_ 	 1x 	 0.22203249561023888 	 [0.49065548253648306, 0.04738728050051272, 0.24646284641417893, 0.08488062933182836, 0.13061376121699686] 	 0.6706475234519141 	 0.32935247654808586
10-22_ 	 2.56x 	 0.09991087992527484 	 [0.12521749066023125, 0.08575697120872691, 0.18642214055298975, 0.20725349975020269, 0.3953498978278493] 	 0.33455966428082196 	 0.665440335719178
