## Cluster data 
Fraction	Trial	Configuration #	#DDT	DDT Fraction	#PEG	PEG Fraction	Total Fraction of Surface Covered
0.10	1	1	[111]	[0.796]	[1, 2, 1, 8]	[0.006, 0.011, 0.006, 0.047]	0.8646
0.10	1	2	[111]	[0.804]	[8, 2, 1, 1]	[0.044, 0.014, 0.008, 0.006]	0.8757
0.10	1	3	[111]	[0.787]	[1, 1, 1, 8, 1]	[0.006, 0.006, 0.006, 0.050, 0.006]	0.8591
0.10	1	4	[111]	[0.787]	[1, 2, 1, 8]	[0.008, 0.008, 0.006, 0.050]	0.8591
0.10	1	5	[111]	[0.793]	[1, 2, 1, 8]	[0.006, 0.008, 0.006, 0.050]	0.8619
0.10	1	6	[111]	[0.796]	[1, 1, 8, 2]	[0.006, 0.008, 0.047, 0.011]	0.8674
0.10	1	7	[111]	[0.790]	[1, 2, 8, 1]	[0.008, 0.011, 0.047, 0.008]	0.8646
0.10	1	8	[111]	[0.787]	[1, 2, 1, 8]	[0.006, 0.011, 0.006, 0.047]	0.8564
0.10	1	9	[111]	[0.793]	[8, 2, 1, 1]	[0.050, 0.014, 0.008, 0.008]	0.8729
0.10	1	10	[111]	[0.787]	[1, 1, 8, 1, 1]	[0.008, 0.006, 0.047, 0.008, 0.006]	0.8619
0.10	2	1	[111]	[0.782]	[1, 4, 1, 5, 1]	[0.006, 0.025, 0.006, 0.025, 0.006]	0.8481
0.10	2	2	[111]	[0.787]	[5, 4, 1, 1, 1]	[0.028, 0.025, 0.006, 0.008, 0.003]	0.8564
0.10	2	3	[111]	[0.776]	[1, 1, 5, 1, 4]	[0.006, 0.008, 0.028, 0.006, 0.025]	0.8481
0.10	2	4	[111]	[0.785]	[5, 4, 1, 1, 1]	[0.025, 0.025, 0.006, 0.006, 0.006]	0.8508
0.10	2	5	[111]	[0.790]	[4, 1, 5, 1, 1]	[0.025, 0.006, 0.028, 0.008, 0.003]	0.8591
0.10	2	6	[111]	[0.782]	[5, 1, 4, 1, 1]	[0.028, 0.008, 0.025, 0.008, 0.006]	0.8564
0.10	2	7	[111]	[0.785]	[1, 4, 5, 1, 1]	[0.008, 0.025, 0.033, 0.003, 0.003]	0.8564
0.10	2	8	[111]	[0.785]	[4, 4, 1, 1, 2]	[0.025, 0.022, 0.003, 0.008, 0.011]	0.8536
0.10	2	9	[111]	[0.771]	[4, 4, 2, 1, 1]	[0.022, 0.025, 0.011, 0.006, 0.008]	0.8425
0.10	2	10	[110, 1]	[0.768, 0.008]	[1, 1, 4, 1, 1, 4]	[0.006, 0.006, 0.025, 0.006, 0.008, 0.022]	0.8481
0.10	3	1	[111]	[0.768]	[3, 1, 1, 1, 3, 1, 2]	[0.022, 0.003, 0.006, 0.008, 0.025, 0.006, 0.014]	0.8508
0.10	3	2	[111]	[0.760]	[3, 1, 1, 1, 1, 2, 3]	[0.022, 0.006, 0.006, 0.006, 0.006, 0.014, 0.019]	0.8370
0.10	3	3	[111]	[0.771]	[1, 3, 2, 1, 1, 3, 1]	[0.003, 0.022, 0.014, 0.008, 0.006, 0.022, 0.006]	0.8508
0.10	3	4	[111]	[0.768]	[1, 3, 1, 1, 3, 1, 1, 1]	[0.008, 0.019, 0.006, 0.006, 0.025, 0.006, 0.003, 0.006]	0.8453
0.10	3	5	[111]	[0.751]	[1, 1, 1, 3, 3, 1, 1, 1]	[0.006, 0.008, 0.006, 0.019, 0.025, 0.006, 0.008, 0.006]	0.8343
0.10	3	6	[111]	[0.765]	[3, 1, 1, 4, 1, 1, 1]	[0.022, 0.008, 0.006, 0.030, 0.008, 0.006, 0.008]	0.8536
0.10	3	7	[111]	[0.762]	[1, 1, 1, 1, 2, 1, 1, 4]	[0.006, 0.006, 0.008, 0.006, 0.017, 0.006, 0.006, 0.030]	0.8453
0.10	3	8	[111]	[0.768]	[1, 6, 1, 3, 1]	[0.008, 0.047, 0.003, 0.022, 0.006]	0.8536
0.10	3	9	[111]	[0.757]	[1, 2, 1, 6, 1, 1]	[0.008, 0.017, 0.006, 0.044, 0.008, 0.003]	0.8425
0.10	3	10	[111]	[0.765]	[1, 4, 4, 1, 1, 1]	[0.006, 0.030, 0.030, 0.008, 0.008, 0.003]	0.8508
0.10	4	1	[111]	[0.787]	[1, 1, 6, 1, 1, 1, 1]	[0.008, 0.006, 0.036, 0.006, 0.003, 0.006, 0.008]	0.8591
0.10	4	2	[111]	[0.776]	[1, 2, 6, 1, 1, 1]	[0.008, 0.011, 0.033, 0.008, 0.006, 0.003]	0.8453
0.10	4	3	[111]	[0.785]	[1, 1, 1, 6, 2, 1]	[0.006, 0.006, 0.008, 0.033, 0.011, 0.008]	0.8564
0.10	4	4	[111]	[0.782]	[1, 2, 6, 3]	[0.006, 0.011, 0.036, 0.022]	0.8564
0.10	4	5	[111]	[0.771]	[1, 1, 3, 1, 6]	[0.006, 0.006, 0.022, 0.003, 0.039]	0.8453
0.10	4	6	[111]	[0.779]	[6, 1, 1, 3, 1]	[0.036, 0.006, 0.006, 0.022, 0.003]	0.8508
0.10	4	7	[111]	[0.779]	[1, 1, 3, 1, 6]	[0.003, 0.006, 0.022, 0.006, 0.033]	0.8481
0.10	4	8	[111]	[0.773]	[6, 3, 1, 1, 1]	[0.033, 0.022, 0.006, 0.008, 0.003]	0.8453
0.10	4	9	[111]	[0.773]	[1, 1, 6, 3, 1]	[0.006, 0.006, 0.030, 0.022, 0.008]	0.8453
0.10	4	10	[111]	[0.776]	[6, 3, 1, 1, 1]	[0.036, 0.019, 0.006, 0.006, 0.003]	0.8453
0.10	5	1	[111]	[0.757]	[1, 1, 1, 1, 4, 1, 1, 1, 1]	[0.006, 0.006, 0.006, 0.006, 0.028, 0.006, 0.008, 0.006, 0.006]	0.8315
0.10	5	2	[111]	[0.768]	[1, 1, 1, 1, 1, 1, 4, 1, 1]	[0.006, 0.006, 0.006, 0.003, 0.008, 0.006, 0.028, 0.006, 0.006]	0.8398
0.10	5	3	[111]	[0.771]	[1, 1, 1, 1, 1, 1, 1, 1, 4]	[0.003, 0.006, 0.006, 0.006, 0.008, 0.006, 0.003, 0.006, 0.028]	0.8398
0.10	5	4	[111]	[0.773]	[1, 1, 1, 4, 1, 1, 1, 1, 1]	[0.006, 0.008, 0.006, 0.030, 0.008, 0.003, 0.006, 0.006, 0.006]	0.8508
0.10	5	5	[111]	[0.771]	[1, 1, 1, 1, 1, 1, 1, 1, 4]	[0.006, 0.006, 0.006, 0.006, 0.003, 0.006, 0.008, 0.006, 0.030]	0.8453
0.10	5	6	[111]	[0.776]	[1, 1, 1, 1, 4, 1, 1, 1, 1]	[0.003, 0.008, 0.006, 0.006, 0.028, 0.006, 0.006, 0.006, 0.006]	0.8481
0.10	5	7	[111]	[0.771]	[4, 1, 1, 1, 1, 1, 1, 1, 1]	[0.028, 0.006, 0.008, 0.006, 0.006, 0.006, 0.003, 0.006, 0.006]	0.8425
0.10	5	8	[111]	[0.776]	[1, 4, 1, 1, 1, 1, 1, 1, 1]	[0.006, 0.028, 0.006, 0.006, 0.008, 0.006, 0.006, 0.006, 0.006]	0.8508
0.10	5	9	[111]	[0.768]	[1, 1, 1, 1, 1, 1, 3, 1, 1, 1]	[0.006, 0.006, 0.008, 0.006, 0.006, 0.006, 0.019, 0.008, 0.008, 0.003]	0.8425
0.10	5	10	[111]	[0.771]	[1, 1, 1, 1, 1, 1, 1, 1, 3, 1]	[0.006, 0.006, 0.006, 0.006, 0.008, 0.006, 0.008, 0.006, 0.019, 0.006]	0.8453
0.10	6	1	[111]	[0.773]	[1, 2, 1, 1, 7]	[0.006, 0.011, 0.008, 0.006, 0.044]	0.8481
0.10	6	2	[111]	[0.771]	[1, 1, 2, 7, 1]	[0.006, 0.006, 0.011, 0.044, 0.008]	0.8453
0.10	6	3	[111]	[0.771]	[8, 1, 2, 1]	[0.052, 0.008, 0.008, 0.008]	0.8481
0.10	6	4	[111]	[0.768]	[2, 1, 8, 1]	[0.008, 0.008, 0.050, 0.008]	0.8425
0.10	6	5	[111]	[0.757]	[2, 1, 5, 3, 1]	[0.014, 0.008, 0.030, 0.017, 0.006]	0.8315
0.10	6	6	[111]	[0.754]	[8, 2, 1, 1]	[0.050, 0.014, 0.006, 0.008]	0.8315
0.10	6	7	[111]	[0.757]	[2, 1, 1, 8]	[0.011, 0.006, 0.008, 0.052]	0.8343
0.10	6	8	[111]	[0.760]	[1, 3, 2, 1, 1, 4]	[0.006, 0.019, 0.014, 0.008, 0.006, 0.019]	0.8315
0.10	6	9	[111]	[0.760]	[1, 1, 4, 3, 2, 1]	[0.008, 0.008, 0.022, 0.019, 0.014, 0.006]	0.8370
0.10	6	10	[111]	[0.765]	[3, 1, 2, 4, 1, 1]	[0.022, 0.006, 0.014, 0.022, 0.006, 0.006]	0.8398
0.10	1	1	[110, 1]	[0.751, 0.008]	[1, 1, 1, 2, 7]	[0.008, 0.006, 0.008, 0.017, 0.047]	0.8453
0.10	1	2	[110, 1]	[0.746, 0.008]	[1, 2, 6, 2, 1]	[0.008, 0.014, 0.041, 0.017, 0.008]	0.8425
0.10	1	3	[1, 110]	[0.008, 0.754]	[1, 1, 2, 1, 6, 1]	[0.008, 0.006, 0.014, 0.008, 0.039, 0.008]	0.8453
0.10	1	4	[1, 110]	[0.008, 0.746]	[1, 2, 6, 1, 1, 1]	[0.008, 0.017, 0.039, 0.006, 0.008, 0.008]	0.8398
0.10	1	5	[1, 110]	[0.008, 0.751]	[1, 7, 1, 2, 1]	[0.006, 0.044, 0.008, 0.017, 0.008]	0.8425
0.10	1	6	[110, 1]	[0.749, 0.008]	[1, 8, 2, 1]	[0.008, 0.052, 0.017, 0.006]	0.8398
