Wavelength	Abs.
250	1.538
252	1.5
254	1.47
256	1.459
258	5
260	1.769
262	1.755
264	1.721
266	1.718
268	1.72
270	1.403
272	1.274
274	1.433
276	1.492
278	1.343
280	1.149
282	1.224
284	1.023
286	0.955
288	0.964
290	0.928
292	0.906
294	0.894
296	0.89
298	0.879
300	0.865
302	0.853
304	0.84
306	0.831
308	0.823
310	0.812
312	0.803
314	0.792
316	0.782
318	0.773
320	0.763
322	0.756
324	0.747
326	0.738
328	0.731
330	0.725
332	0.718
334	0.71
336	0.702
338	0.697
340	0.69
342	0.687
344	0.68
346	0.676
348	0.67
350	0.665
352	0.659
354	0.652
356	0.648
358	0.642
360	0.637
362	0.634
364	0.628
366	0.623
368	0.621
370	0.617
372	0.613
374	0.611
376	0.608
378	0.606
380	0.604
382	0.601
384	0.599
386	0.594
388	0.59
390	0.585
392	0.578
394	0.571
396	0.563
398	0.554
400	0.546
402	0.538
404	0.53
406	0.522
408	0.515
410	0.507
412	0.501
414	0.496
416	0.489
418	0.484
420	0.479
422	0.474
424	0.47
426	0.465
428	0.461
430	0.458
432	0.453
434	0.451
436	0.447
438	0.444
440	0.44
442	0.438
444	0.434
446	0.431
448	0.428
450	0.426
452	0.423
454	0.421
456	0.419
458	0.416
460	0.414
462	0.411
464	0.409
466	0.407
468	0.405
470	0.403
472	0.402
474	0.4
476	0.398
478	0.398
480	0.396
482	0.395
484	0.395
486	0.394
488	0.394
490	0.394
492	0.395
494	0.396
496	0.396
498	0.398
500	0.399
502	0.401
504	0.403
506	0.405
508	0.406
510	0.409
512	0.411
514	0.414
516	0.416
518	0.418
520	0.42
522	0.422
524	0.423
526	0.424
528	0.426
530	0.427
532	0.428
534	0.428
536	0.429
538	0.429
540	0.429
542	0.428
544	0.428
546	0.427
548	0.426
550	0.425
552	0.424
554	0.422
556	0.42
558	0.418
560	0.417
562	0.414
564	0.412
566	0.41
568	0.407
570	0.405
572	0.402
574	0.4
576	0.396
578	0.394
580	0.391
582	0.389
584	0.386
586	0.384
588	0.381
590	0.379
592	0.376
594	0.373
596	0.371
598	0.368
600	0.366
602	0.363
604	0.36
606	0.358
608	0.355
610	0.352
612	0.35
614	0.347
616	0.345
618	0.343
620	0.34
622	0.338
624	0.336
626	0.333
628	0.331
630	0.329
632	0.326
634	0.324
636	0.321
638	0.319
640	0.316
642	0.314
644	0.311
646	0.31
648	0.307
650	0.305
652	0.303
654	0.301
656	0.299
658	0.297
660	0.295
662	0.293
664	0.291
666	0.29
668	0.288
670	0.285
672	0.284
674	0.282
676	0.28
678	0.278
680	0.277
682	0.275
684	0.274
686	0.272
688	0.27
690	0.268
692	0.267
694	0.265
696	0.264
698	0.262
700	0.26
702	0.258
704	0.256
706	0.255
708	0.253
710	0.252
712	0.25
714	0.249
716	0.247
718	0.246
720	0.245
722	0.244
724	0.242
726	0.24
728	0.24
730	0.238
732	0.237
734	0.236
736	0.234
738	0.233
740	0.231
742	0.23
744	0.229
746	0.228
748	0.228
750	0.227
752	0.226
754	0.225
756	0.224
758	0.223
760	0.222
762	0.221
764	0.22
766	0.218
768	0.217
770	0.216
772	0.215
774	0.214
776	0.213
778	0.212
780	0.21
782	0.209
784	0.21
786	0.208
788	0.207
790	0.205
792	0.206
794	0.204
796	0.203
798	0.203
800	0.202
